PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Kimberley, A; Blackburn, GA; Whyatt, JD; Smart, SM				Kimberley, Adam; Blackburn, G. Alan; Whyatt, J. Duncan; Smart, Simon M.			How well is current plant trait composition predicted by modern and historical forest spatial configuration?	ECOGRAPHY																Whyatt, J Duncan/D-8123-2014; smart, simon M/I-6089-2012	Whyatt, J Duncan/0000-0001-9329-4367; smart, simon/0000-0003-2750-7832; Kimberley, Adam/0000-0002-0807-9943												0906-7590	1600-0587				JAN	2016	39	1					67	76		10.1111/ecog.01607							WOS:000368792500008						
J	Blubaugh, CK; Kaplan, I				Blubaugh, Carmen K.; Kaplan, Ian			Invertebrate Seed Predators Reduce Weed Emergence Following Seed Rain	WEED SCIENCE																													0043-1745	1550-2759				JAN-MAR	2016	64	1					80	86		10.1614/WS-D-15-00111.1							WOS:000368263100010						
J	Midega, CAO; Pickett, J; Hooper, A; Pittchar, J; Khan, ZR				Midega, Charles A. O.; Pickett, John; Hooper, Antony; Pittchar, Jimmy; Khan, Zeyaur R.			Maize Landraces are Less Affected by Striga hermonthica Relative to Hybrids in Western Kenya	WEED TECHNOLOGY																	Hooper, Antony/0000-0002-0780-2167												0890-037X	1550-2740				JAN-MAR	2016	30	1					21	28		10.1614/WT-D-15-00055.1							WOS:000370498600003						
J	Schwartz, LM; Norsworthy, JK; Young, BG; Bradley, KW; Kruger, GR; Davis, VM; Steckel, LE; Walsh, MJ				Schwartz, Lauren M.; Norsworthy, Jason K.; Young, Bryan G.; Bradley, Kevin W.; Kruger, Greg R.; Davis, Vince M.; Steckel, Larry E.; Walsh, Michael J.			Tall Waterhemp (Amaranthus tuberculatus) and Palmer amaranth (Amaranthus palmeri) Seed Production and Retention at Soybean Maturity	WEED TECHNOLOGY																Lazaro, Lauren/K-7579-2019; Walsh, Michael J/B-3283-2011	Lazaro, Lauren/0000-0001-8305-4319; Walsh, Michael J/0000-0002-2748-9753; Norsworthy, Jason/0000-0002-7379-6201												0890-037X	1550-2740				JAN-MAR	2016	30	1					284	290		10.1614/WT-D-15-00130.1							WOS:000370498600033						
J	Wallinger, C; Sint, D; Baier, F; Schmid, C; Mayer, R; Traugott, M				Wallinger, C.; Sint, D.; Baier, F.; Schmid, C.; Mayer, R.; Traugott, M.			Detection of seed DNA in regurgitates of granivorous carabid beetles	BULLETIN OF ENTOMOLOGICAL RESEARCH																	Traugott, Michael/0000-0001-9719-5059; Sint, Daniela/0000-0003-3387-4284												0007-4853	1475-2670				DEC	2015	105	6					728	735		10.1017/S000748531500067X							WOS:000365166000009	26271284					
J	Hoiberg, AH; Minner, DD				Hoiberg, Andrew H.; Minner, David D.			No Kentucky Bluegrass or Perennial Ryegrass Seedbank Formation When Sown at 1-inch Depth in the Upper Midwest	CROP FORAGE & TURFGRASS MANAGEMENT																													2374-3832					DEC	2015	1	1								10.2134/cftm2015.0125							WOS:000453297900033						
J	Mirsky, SB; Wallace, JM; Curran, WS; Crockett, BC				Mirsky, Steven B.; Wallace, John M.; Curran, William S.; Crockett, Benjamin C.			Hairy Vetch Seedbank Persistence and Implications for Cover Crop Management	AGRONOMY JOURNAL																													0002-1962	1435-0645				NOV-DEC	2015	107	6					2391	2400		10.2134/agronj14.0523							WOS:000368342900042						
J	Martins, BAB; Christoffoleti, PJ				Barbosa Martins, Bianca Assis; Christoffoleti, Pedro Jacob			Buttonweed emergence as affected by seed burial depth and straw on the soil surface	SCIENTIA AGRICOLA																Martins, Bianca/J-9213-2015; Christoffoleti, Pedro J/J-1479-2012	Christoffoleti, Pedro/0000-0002-2741-5615												1678-992X					NOV-DEC	2015	72	6					489	494		10.1590/0103-9016-2014-0400							WOS:000364431900004						
J	Balcazar-Vargas, MP; Salguero-Gomez, R; Zuidema, PA				Balcazar-Vargas, Maria P.; Salguero-Gomez, Roberto; Zuidema, Pieter A.			No second chances: demography from the forest floor to the canopy and back again	JOURNAL OF ECOLOGY																Zuidema, Pieter/C-8951-2009; Salguero-Gomez, Rob/N-6016-2016	Zuidema, Pieter/0000-0001-8100-1168; Salguero-Gomez, Rob/0000-0002-6085-4433												0022-0477	1365-2745				NOV	2015	103	6					1498	1508		10.1111/1365-2745.12466							WOS:000363339300013						
J	Van Bogaert, R; Gauthier, S; Drobyshev, I; Jayen, K; Greene, DF; Bergeron, Y				Van Bogaert, Rik; Gauthier, Sylvie; Drobyshev, Igor; Jayen, Karelle; Greene, David F.; Bergeron, Yves			Prolonged Absence of Disturbance Associated with Increased Environmental Stress May Lead to Reduced Seedbank Size in Picea mariana in Boreal Eastern North America	ECOSYSTEMS																Drobyshev, Igor/D-9220-2016; Gauthier, Sylvie/J-3923-2019	Drobyshev, Igor/0000-0002-5980-4316; Gauthier, Sylvie/0000-0001-6720-0195												1432-9840	1435-0629				NOV	2015	18	7					1135	1150		10.1007/s10021-015-9888-3							WOS:000363027600002						
J	du Toit, JCO; O'Connor, TG; Van den Berg, L				du Toit, Justin Christopher Okes; O'Connor, Timothy G.; Van den Berg, Loraine			Photographic evidence of fire-induced shifts from dwarf-shrub- to grass-dominated vegetation in Nama-Karoo	SOUTH AFRICAN JOURNAL OF BOTANY																	du Toit, Justin CO/0000-0002-3108-5516												0254-6299	1727-9321				NOV	2015	101				SI		148	152		10.1016/j.sajb.2015.06.002							WOS:000366616400019						
J	Nichols, V; Verhulst, N; Cox, R; Govaerts, B				Nichols, Virginia; Verhulst, Nele; Cox, Rachael; Govaerts, Bram			Weed dynamics and conservation agriculture principles: A review	FIELD CROPS RESEARCH																	Nichols, Virginia/0000-0003-1850-8243												0378-4290	1872-6852				NOV	2015	183						56	68		10.1016/j.fcr.2015.07.012							WOS:000362133600007						
J	Wagner, SA; Fraterrigo, JM				Wagner, Stephanie A.; Fraterrigo, Jennifer M.			Positive feedbacks between fire and non-native grass invasion in temperate deciduous forests	FOREST ECOLOGY AND MANAGEMENT																													0378-1127	1872-7042				OCT 15	2015	354						170	176		10.1016/j.foreco.2015.06.024							WOS:000362058800018						
J	Shergill, LS; Fleet, B; Preston, C; Gill, G				Shergill, Lovreet S.; Fleet, Benjamin; Preston, Christopher; Gill, Gurjeet			Incidence of Herbicide Resistance, Seedling Emergence, and Seed Persistence of Smooth Barley (Hordeum glaucum) in South Australia	WEED TECHNOLOGY																	Preston, Christopher/0000-0002-7588-124X												0890-037X	1550-2740				OCT-DEC	2015	29	4					782	792		10.1614/WT-D-15-00064.1							WOS:000365866100016						
J	Schutte, BJ; Cunningham, A				Schutte, Brian J.; Cunningham, Ashley			Tall Morningglory (Ipomoea purpurea) Seedbank Density Effects on Pendimethalin Control Outcomes	WEED TECHNOLOGY																													0890-037X	1550-2740				OCT-DEC	2015	29	4					844	853		10.1614/WT-D-14-00161.1							WOS:000365866100023						
J	van der Laat, R; Owen, MDK; Liebman, M; Leon, RG				van der Laat, Rocio; Owen, Micheal D. K.; Liebman, Matt; Leon, Ramon G.			Postdispersal Weed Seed Predation and Invertebrate Activity Density in Three Tillage Regimes	WEED SCIENCE																	Leon, Ramon/0000-0002-1924-3331												0043-1745	1550-2759				OCT-DEC	2015	63	4					828	838		10.1614/WS-D-15-00030.1							WOS:000362957200010						
J	Birthisel, SK; Gallandt, ER; Jabbour, R; Drummond, FA				Birthisel, Sonja K.; Gallandt, Eric R.; Jabbour, Randa; Drummond, Francis A.			Habitat and Time Are More Important Predictors of Weed Seed Predation than Space on a Diversified Vegetable Farm in Maine, USA	WEED SCIENCE																													0043-1745	1550-2759				OCT-DEC	2015	63	4					916	927		10.1614/WS-D-15-00057.1							WOS:000362957200019						
J	Kulkarni, SS; Dosdall, LM; Spence, JR; Willenborg, CJ				Kulkarni, Sharavari S.; Dosdall, Lloyd M.; Spence, John R.; Willenborg, Christian J.			Depth of Seed Burial and Gender Influence Weed Seed Predation by Three Species of Ground Beetle (Coleoptera: Carabidae)	WEED SCIENCE																	Kulkarni, Sharavari/0000-0002-9929-5608												0043-1745	1550-2759				OCT-DEC	2015	63	4					910	915		10.1614/WS-D-15-00080.1							WOS:000362957200018						
J	Blackshaw, RE; Pearson, DC; Larney, FJ; Regitnig, PJ; Nitschelm, JJ; Lupwayi, NZ				Blackshaw, Robert E.; Pearson, Drusilla C.; Larney, Francis J.; Regitnig, Peter J.; Nitschelm, Jennifer J.; Lupwayi, Newton Z.			Conservation Management and Crop Rotation Effects on Weed Populations in a 12-Year Irrigated Study	WEED TECHNOLOGY																Lupwayi, Newton/R-7214-2019	Lupwayi, Newton/0000-0002-0410-8962; Larney, Francis/0000-0002-4427-2097												0890-037X	1550-2740				OCT-DEC	2015	29	4					835	843		10.1614/WT-D-15-00071.1							WOS:000365866100022						
J	Stenerud, S; Mangerud, K; Sjursen, H; Torp, T; Brandsaeter, LO				Stenerud, S.; Mangerud, K.; Sjursen, H.; Torp, T.; Brandsaeter, L. O.			Effects of weed harrowing and undersown clover on weed growth and spring cereal yield	WEED RESEARCH																													0043-1737	1365-3180				OCT	2015	55	5					493	502		10.1111/wre.12163							WOS:000361221700007						
J	Mauro, RP; Lo Monaco, A; Lombardo, S; Restuccia, A; Mauromicale, G				Mauro, Rosario Paolo; Lo Monaco, Antonino; Lombardo, Sara; Restuccia, Alessia; Mauromicale, Giovanni			Eradication of Orobanche/Phelipanche spp. seedbank by soil solarization and organic supplementation	SCIENTIA HORTICULTURAE																	LOMBARDO, SARA/0000-0003-1016-0430; RESTUCCIA, Alessia/0000-0003-4256-2231												0304-4238	1879-1018				SEP 22	2015	193						62	68		10.1016/j.scienta.2015.06.038							WOS:000362136300009						
J	Blaise, D; Wanjari, RH; Singh, RK; Hati, KM				Blaise, Desouza; Wanjari, Ravi H.; Singh, Rakesh K.; Hati, Kuntal M.			The response of weed community in soybean with conventional and conservation tillage systems on rainfed Vertisols	ARCHIVES OF AGRONOMY AND SOIL SCIENCE																Desouza, Blaise/H-5132-2019	Desouza, Blaise/0000-0001-6344-6294												0365-0340	1476-3567				SEP 2	2015	61	9					1289	1301		10.1080/03650340.2014.993389							WOS:000354100600002						
J	Parro, K; Metslaid, M; Renel, G; Sims, A; Stanturf, JA; Jogiste, K; Koster, K				Parro, Kristi; Metslaid, Marek; Renel, Getter; Sims, Allan; Stanturf, John A.; Jogiste, Kalev; Koester, Kajar			Impact of postfire management on forest regeneration in a managed hemiboreal forest, Estonia	CANADIAN JOURNAL OF FOREST RESEARCH																Metslaid, Marek/G-6782-2016; Stanturf, John A./M-4171-2019; Koster, Kajar/C-8397-2012; Sims, Allan/A-5119-2009	Metslaid, Marek/0000-0003-3384-2717; Stanturf, John A./0000-0002-6828-9459; Koster, Kajar/0000-0003-1988-5788; Sims, Allan/0000-0003-1312-6940; Jogiste, Kalev/0000-0002-2484-8802												0045-5067	1208-6037				SEP	2015	45	9			SI		1192	1197		10.1139/cjfr-2014-0514							WOS:000360298700007						
J	Feng, L; Chen, GQ; Tian, XS; Yang, HM; Yue, MF; Yang, CH				Feng, L.; Chen, G-Q; Tian, X-S; Yang, H-M; Yue, M-F; Yang, C-H			The hotter the weather, the greater the infestation of Portulaca oleracea: opportunistic life-history traits in a serious weed	WEED RESEARCH																													0043-1737	1365-3180				AUG	2015	55	4					396	405		10.1111/wre.12151							WOS:000357596800007						
J	Crow, WD; Steckel, LE; Hayes, RM; Mueller, TC				Crow, Whitney D.; Steckel, Lawrence E.; Hayes, Robert M.; Mueller, Thomas C.			Evaluation of POST-Harvest Herbicide Applications for Seed Prevention of Glyphosate-Resistant Palmer amaranth (Amaranthus palmeri)	WEED TECHNOLOGY																													0890-037X	1550-2740				JUL-SEP	2015	29	3					405	411		10.1614/WT-D-14-00146.1							WOS:000359448400008						
J	Blath, J; Casanova, AG; Eldon, B; Kurt, N; Wilke-Berenguer, M				Blath, Jochen; Casanova, Adrian Gonzalez; Eldon, Bjarki; Kurt, Noemi; Wilke-Berenguer, Maite			Genetic Variability Under the Seedbank Coalescent	GENETICS																	Wilke Berenguer, Maite/0000-0002-6057-495X; Gonzalez Casanova, Adrian/0000-0002-1744-6506												0016-6731	1943-2631				JUL	2015	200	3					921	+		10.1534/genetics.115.176818							WOS:000357883800022	25953769					
J	Wozniak, A; Soroka, M				Wozniak, A.; Soroka, M.			Structure of weed communities occurring in crop rotation and monoculture of cereals	INTERNATIONAL JOURNAL OF PLANT PRODUCTION																	Wozniak, Andrzej/0000-0002-9845-7003												1735-6814	1735-8043				JUL	2015	9	3					487	506									WOS:000354870500008						
J	Pannacci, E; Graziani, F; Tel, F				Pannacci, Euro; Graziani, Federica; Tel, Francesco			Seed Filter Extractor: A new instrument for the evaluation of weed seedbank	SOIL & TILLAGE RESEARCH																PANNACCI, Euro/J-6972-2019	PANNACCI, Euro/0000-0003-0041-0563; TEI, Francesco/0000-0003-0857-9662												0167-1987	1879-3444				JUL	2015	150						78	82		10.1016/j.still.2015.01.004							WOS:000352251100008						
J	Panetta, FD				Panetta, F. D.			Weed eradication feasibility: lessons of the 21st century	WEED RESEARCH																													0043-1737	1365-3180				JUN	2015	55	3					226	238		10.1111/wre.12136							WOS:000354248900002						
J	Ruisi, P; Frangipane, B; Amato, G; Badagliacca, G; Di Miceli, G; Plaia, A; Giambalvo, D				Ruisi, P.; Frangipane, B.; Amato, G.; Badagliacca, G.; Di Miceli, G.; Plaia, A.; Giambalvo, D.			Weed seedbank size and composition in a long-term tillage and crop sequence experiment	WEED RESEARCH																Amato, Gaetano/E-1105-2011; BADAGLIACCA, Giuseppe/I-4949-2019; Plaia, Antonella/K-2462-2015; Ruisi, Paolo/L-9337-2015	Amato, Gaetano/0000-0003-0660-7594; BADAGLIACCA, Giuseppe/0000-0002-7688-6210; Plaia, Antonella/0000-0001-7811-2430; DI MICELI, Giuseppe/0000-0002-8076-5972; Ruisi, Paolo/0000-0002-5807-6986												0043-1737	1365-3180				JUN	2015	55	3					320	328		10.1111/wre.12142							WOS:000354248900011						
J	Simard, MJ; Nurse, RE; Darbyshire, SJ				Simard, Marie-Josee; Nurse, Robert E.; Darbyshire, Stephen J.			Emergence and seed production of woolly cupgrass (Eriochloa villosa) in legume forage crops	CANADIAN JOURNAL OF PLANT SCIENCE																													0008-4220	1918-1833				MAY	2015	95	3					539	548		10.4141/CJPS-2014-317							WOS:000360992700010						
J	James, JJ; Gornish, ES; DiTomaso, JM; Davy, J; Doran, MP; Becchetti, T; Lile, D; Brownsey, P; Laca, EA				James, Jeremy J.; Gornish, Elise S.; DiTomaso, Joseph M.; Davy, Josh; Doran, Morgan P.; Becchetti, Theresa; Lile, David; Brownsey, Philip; Laca, Emilio A.			Managing Medusahead (Taeniatherum caput-medusae) on Rangeland: A Meta-Analysis of Control Effects and Assessment of Stakeholder Needs	RANGELAND ECOLOGY & MANAGEMENT																													1550-7424	1551-5028				MAY	2015	68	3					215	223		10.1016/j.rama.2015.03.006							WOS:000355787300001						
J	Nishimura, A; Asai, M; Shibuya, T; Kurokawa, S; Nakamura, H				Nishimura, Aiko; Asai, Motoaki; Shibuya, Tomoko; Kurokawa, Shunji; Nakamura, Hiroya			A steaming method for killing weed seeds produced in the current year under untilled conditions	CROP PROTECTION																	Kurokawa, Shunji/0000-0001-5768-1693												0261-2194	1873-6904				MAY	2015	71						125	131		10.1016/j.cropro.2015.02.015							WOS:000351810400017						
J	Camicia, RFM; Maggi, MF; Souza, EG; Jadoski, SO; Camicia, RGM; Menechini, W				Camicia, R. F. M.; Maggi, M. F.; Souza, E. G.; Jadoski, S. O.; Camicia, R. G. M.; Menechini, W.			SELECTION OF GRIDS FOR WEED MAPPING	PLANTA DANINHA																Souza, Eduardo G/D-8182-2014													0100-8358					APR-JUN	2015	33	2					365	373		10.1590/0100-83582015000200023							WOS:000358011500023						
J	Poffenbarger, HJ; Mirsky, SB; Teasdale, JR; Spargo, JT; Cavigelli, MA; Kramer, M				Poffenbarger, Hanna J.; Mirsky, Steven B.; Teasdale, John R.; Spargo, John T.; Cavigelli, Michel A.; Kramer, Matthew			Nitrogen Competition between Corn and Weeds in Soils under Organic and Conventional Management	WEED SCIENCE																													0043-1745	1550-2759				APR-JUN	2015	63	2					461	476		10.1614/WS-D-14-00099.1							WOS:000354973700010						
J	Schwartz, LM; Gibson, DJ; Gage, KL; Matthews, JL; Jordan, DL; Owen, MDK; Shaw, DR; Weller, SC; Wilson, RG; Young, BG				Schwartz, Lauren M.; Gibson, David J.; Gage, Karla L.; Matthews, Joseph L.; Jordan, David L.; Owen, Micheal D. K.; Shaw, David R.; Weller, Stephen C.; Wilson, Robert G.; Young, Bryan G.			Seedbank and Field Emergence of Weeds in Glyphosate-Resistant Cropping Systems in the United States	WEED SCIENCE																Lazaro, Lauren/K-7579-2019	Lazaro, Lauren/0000-0001-8305-4319												0043-1745	1550-2759				APR-JUN	2015	63	2					425	439		10.1614/WS-D-14-00089.1							WOS:000354973700007						
J	Shrestha, A; Mitchell, JP; Hembree, KJ				Shrestha, Anil; Mitchell, Jeffrey P.; Hembree, Kurt J.			Weed Seedbank Characterization in Long-Term Cotton-Tomato Rotations in California	AGRONOMY JOURNAL																													0002-1962	1435-0645				MAR-APR	2015	107	2					597	604		10.2134/agronj14.0443							WOS:000352161100022						
J	Perronne, R; Le Corre, V; Bretagnolle, V; Gaba, S				Perronne, Remi; Le Corre, Valerie; Bretagnolle, Vincent; Gaba, Sabrina			Stochastic processes and crop types shape weed community assembly in arable fields	JOURNAL OF VEGETATION SCIENCE																Gaba, Sabrina/N-8428-2013; Gaba, Sabrina/H-5240-2018	Gaba, Sabrina/0000-0002-7145-6713; Gaba, Sabrina/0000-0002-7145-6713; Le Corre, Valerie/0000-0001-6515-7795												1100-9233	1654-1103				MAR	2015	26	2					348	359		10.1111/jvs.12238							WOS:000349376200014						
J	Ni, CY; Bell, RW; McGrath, W; Jasper, DA; McNeill, P				Ni, Caiying; Bell, R. W.; McGrath, W.; Jasper, D. A.; McNeill, P.			Role of soil covers in establishment of vegetation on gold oxide refining residues	ECOLOGICAL ENGINEERING																	Bell, Richard/0000-0002-7756-3755												0925-8574	1872-6992				FEB	2015	75						392	403		10.1016/j.ecoleng.2014.11.058							WOS:000349598200048						
J	Blubaugh, CK; Kaplan, I				Blubaugh, Carmen K.; Kaplan, Ian			Tillage compromises weed seed predator activity across developmental stages	BIOLOGICAL CONTROL																													1049-9644	1090-2112				FEB	2015	81						76	82		10.1016/j.biocontrol.2014.11.007							WOS:000346852200011						
J	Deng, WN; Hallett, PD; Jeng, DS; Squire, GR; Toorop, PE; Iannetta, PPM				Deng, Wenni; Hallett, Paul D.; Jeng, Dong-Sheng; Squire, Geoffrey R.; Toorop, Peter E.; Iannetta, Pietro P. M.			The effect of natural seed coatings of Capsella bursa-pastoris L. Medik. (shepherd's purse) on soil-water retention, stability and hydraulic conductivity	PLANT AND SOIL																Iannetta, Pietro/F-2451-2011; Iannetta, Pietro Paolo Michele/AAD-2091-2019; Toorop, Peter E/F-4072-2015; Jeng, Dong-Sheng/B-5022-2010; Iannetta, Pietro/L-1231-2016; Hallett, Paul/C-9233-2011	Iannetta, Pietro Paolo Michele/0000-0002-3451-4259; Toorop, Peter E/0000-0002-9328-9733; Jeng, Dong-Sheng/0000-0003-0199-0918; Iannetta, Pietro/0000-0002-3451-4259; Hallett, Paul/0000-0001-7542-7832												0032-079X	1573-5036				FEB	2015	387	1-2					167	176		10.1007/s11104-014-2281-8							WOS:000348318100012						
S	Oktavia, D; Setiadi, Y; Hilwan, I		Trihartono, A; Mclellan, B		Oktavia, Dina; Setiadi, Yadi; Hilwan, Iwan			The comparison of soil properties in heath forest and post-tin mined land: basic for ecosystem restoration	5th Sustainable Future for Human Security (SustaiN 2014)	Procedia Environmental Sciences				5th Sustainable Future for Human Security (SustaiN)	OCT 19-21, 2014	Bali, INDONESIA	Sustain Soc																					1878-0296						2015	28						124	131		10.1016/j.proenv.2015.07.018							WOS:000380512600018						
S	Ebert, AW; de los Santos, EB; San Buenaventura, A; Imperial, RM		Keatinge, JDH; Srinivasan, R; Mecozzi, M		Ebert, A. W.; de los Santos, E. B.; San Buenaventura, A.; Imperial, R. M.			Community-based seed production of traditional vegetables to enhance nutrition security and empower farmers in the Philippines	XXIX INTERNATIONAL HORTICULTURAL CONGRESS ON HORTICULTURE: SUSTAINING LIVES, LIVELIHOODS AND LANDSCAPES (IHC2014): INTERNATIONAL SYMPOSIUM ON INDIGENOUS VEGETABLES	Acta Horticulturae				29th International Horticultural Congress on Horticulture - Sustaining Lives, Livelihoods and Landscapes (IHC) / International Symposium on Promoting the Future of Indigenous Vegetables Worldwide	AUG 17-22, 2014	Brisbane, AUSTRALIA	Int Soc Hort Sci								Ebert, Andreas/J-6613-2019	Ebert, Andreas/0000-0001-8146-3813												0567-7572		978-94-62610-89-7				2015	1102						135	141		10.17660/ActaHortic.2015.1102.16							WOS:000378730300016						
S	Dulloo, ME		Jaenicke, H; Ashmore, SE; Dulloo, ME; Guarino, L; Taylor, M		Dulloo, M. E.			Conservation and availability of plant genetic diversity: innovative strategies and technologies	XXIX INTERNATIONAL HORTICULTURAL CONGRESS ON HORTICULTURE: SUSTAINING LIVES, LIVELIHOODS AND LANDSCAPES (IHC2014): IV INTERNATIONAL SYMPOSIUM ON PLANT GENETIC RESOURCES	Acta Horticulturae				29th International Horticultural Congress on Horticulture - Sustaining Lives, Livelihoods and Landscapes (IHC) / 4th International Symposium on Plant Genetic Resources	AUG 17-22, 2014	Brisbane, AUSTRALIA	Int Soc Hort Sci																					0567-7572		978-94-62610-87-3				2015	1101						1	7		10.17660/ActaHortic.2015.1101.1							WOS:000378649000001						
S	Sommerville, KD; Offord, CA		Jaenicke, H; Ashmore, SE; Dulloo, ME; Guarino, L; Taylor, M		Sommerville, K. D.; Offord, C. A.			Ex situ conservation techniques for Australian rainforest species	XXIX INTERNATIONAL HORTICULTURAL CONGRESS ON HORTICULTURE: SUSTAINING LIVES, LIVELIHOODS AND LANDSCAPES (IHC2014): IV INTERNATIONAL SYMPOSIUM ON PLANT GENETIC RESOURCES	Acta Horticulturae				29th International Horticultural Congress on Horticulture - Sustaining Lives, Livelihoods and Landscapes (IHC) / 4th International Symposium on Plant Genetic Resources	AUG 17-22, 2014	Brisbane, AUSTRALIA	Int Soc Hort Sci																					0567-7572		978-94-62610-87-3				2015	1101						75	80		10.17660/ActaHortic.2015.1101.12							WOS:000378649000012						
S	Blath, J; Eldon, B; Casanova, AG; Kurt, N		Mena, RH; Pardo, JC; Rivero, V; Bravo, GU		Blath, Jochen; Eldon, Bjarki; Casanova, Adrian Gonzalez; Kurt, Noemi			Genealogy of a Wright-Fisher Model with Strong SeedBank Component	XI SYMPOSIUM ON PROBABILITY AND STOCHASTIC PROCESSES	Progress in Probability				11th Symposium on Probability and Stochastic Processes	NOV 18-22, 2013	Centro Investigac Matematicas Mexico, MEXICO	Int Year Stat, Lab Internac Solomon Lefschetz CNRS CONACYT, Instituto Investigac Matematicas Aplicadas Sistemas, Instituto Matematicas, UNAM	Centro Investigac Matematicas Mexico																				1050-6977		978-3-319-13984-5; 978-3-319-13983-8				2015	69						81	100		10.1007/978-3-319-13984-5_4							WOS:000375985800005						
J	Vivian, LM; Ward, KA; Marshall, DJ; Godfree, RC				Vivian, L. M.; Ward, K. A.; Marshall, D. J.; Godfree, R. C.			Pseudoraphis spinescens (Poaceae) grasslands at Barmah Forest, Victoria, Australia: current distribution and implications for floodplain conservation	AUSTRALIAN JOURNAL OF BOTANY																													0067-1924	1444-9862					2015	63	6					526	540		10.1071/BT15090							WOS:000368441900007						
J	Renton, M; Lawes, R; Metcalf, T; Robertson, M				Renton, Michael; Lawes, Roger; Metcalf, Tess; Robertson, Michael			Considering long-term ecological effects on future land-use options when making tactical break-crop decisions in cropping systems	CROP & PASTURE SCIENCE																Lawes, Roger A/B-3538-2010; Robertson, Michael J/G-1418-2010; Renton, Michael/A-9979-2011	Renton, Michael/0000-0003-1316-0145												1836-0947	1836-5795					2015	66	6					610	621		10.1071/CP14135							WOS:000355869400007						
J	Polat, R; Cakilcioglu, U; Ulusan, MD; Paksoy, MY				Polat, Ridvan; Cakilcioglu, Ugur; Ulusan, Musa Denizhan; Paksoy, Mehmet Yavuz			Survey of wild food plants for human consumption in Elazig (Turkey)	INDIAN JOURNAL OF TRADITIONAL KNOWLEDGE																													0972-5938	0975-1068				JAN	2015	14	1					69	75									WOS:000353863800011						
J	McPhee, J; Borden, L; Bowles, J; Henry, HAL				McPhee, Jennifer; Borden, Laura; Bowles, Jane; Henry, Hugh A. L.			Tallgrass prairie restoration: implications of increased atmospheric nitrogen deposition when site preparation minimizes adventive grasses	RESTORATION ECOLOGY																Henry, Hugh/C-3955-2017													1061-2971	1526-100X				JAN	2015	23	1					34	42		10.1111/rec.12156							WOS:000348711100006						
B	Gliessman, SR	Gliessman, SR			Gliessman, Stephen R.	Gliessman, SR		Management History and the Weed Seedbank	FIELD AND LABORATORY INVESTIGATIONS IN AGROECOLOGY, 3RD EDITION																															978-1-4987-2849-2; 978-1-4398-9571-9				2015							87	97			10.1201/b17884						WOS:000481792100012						
J	Reyes, O; Kaal, J; Aran, D; Gago, R; Bernal, J; Garcia-Duro, J; Basanta, M				Reyes, Otilia; Kaal, Joeri; Aran, Diego; Gago, Raquel; Bernal, Javier; Garcia-Duro, Juan; Basanta, Margarita			THE EFFECTS OF ASH AND BLACK CARBON (BIOCHAR) ON GERMINATION OF DIFFERENT TREE SPECIES	FIRE ECOLOGY																Bernal, Javier/X-3856-2018	Bernal, Javier/0000-0002-2374-2416; Aran, Diego/0000-0002-4375-6903; Reyes, Otilia/0000-0002-2276-7734; Kaal, Joeri/0000-0002-0177-5911												1933-9747						2015	11	1					119	133		10.4996/fireecology.1101119							WOS:000352654800009						
J	Webster, TM; Grey, TL				Webster, Theodore M.; Grey, Timothy L.			Glyphosate-Resistant Palmer Amaranth (Amaranthus palmeri) Morphology, Growth, and Seed Production in Georgia	WEED SCIENCE																Webster, Theodore/A-4468-2009	Webster, Theodore/0000-0002-8259-2059												0043-1745	1550-2759				JAN-MAR	2015	63	1					264	272		10.1614/WS-D-14-00051.1							WOS:000349782100007						
J	Marques, AR; Costa, CF; Atman, APF; Garcia, QS				Marques, A. R.; Costa, C. F.; Atman, A. P. F.; Garcia, Q. S.			Germination characteristics and seedbank of the alien species Leucaena leucocephala (Fabaceae) in Brazilian forest: ecological implications	WEED RESEARCH																Atman, Allbens/A-2752-2008; Garcia, Queila/B-5429-2014	Atman, Allbens/0000-0002-7614-2721; Garcia, Queila/0000-0002-7137-788X												0043-1737	1365-3180				DEC	2014	54	6					576	583		10.1111/wre.12107							WOS:000345307400004						
J	Jabbour, R; Zwickle, S; Gallandt, ER; McPhee, KE; Wilson, RS; Doohan, D				Jabbour, Randa; Zwickle, Sarah; Gallandt, Eric R.; McPhee, Katherine E.; Wilson, Robyn S.; Doohan, Doug			Mental models of organic weed management: Comparison of New England US farmer and expert models	RENEWABLE AGRICULTURE AND FOOD SYSTEMS																													1742-1705	1742-1713				DEC	2014	29	4					319	333		10.1017/S1742170513000185							WOS:000344392700003						
J	Doisy, D; Colbach, N; Roger-Estrade, J; Mediene, S				Doisy, D.; Colbach, N.; Roger-Estrade, J.; Mediene, S.			Weed seed rain interception by grass cover depends on seed traits	WEED RESEARCH																Colbach, Nathalie/C-6677-2014	Colbach, Nathalie/0000-0002-3791-037X												0043-1737	1365-3180				DEC	2014	54	6					593	602		10.1111/wre.12106							WOS:000345307400006						
