PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Marushia, RG; Allen, EB",,,,"Marushia, Robin G.; Allen, Edith B.",,,Control of Exotic Annual Grasses to Restore Native Forbs in Abandoned Agricultural Land,RESTORATION ECOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061-2971,1526-100X,,,,JAN,2011,19,1,,,,,45,54,,10.1111/j.1526-100X.2009.00540.x,,,,,,,WOS:000286024400006,,,,,
J,"Wortman, SE; Lindquist, JL; Haar, MJ; Francis, CA",,,,"Wortman, Sam E.; Lindquist, John L.; Haar, Milton J.; Francis, Charles A.",,,"Increased weed diversity, density and above-ground biomass in long-term organic crop rotations",RENEWABLE AGRICULTURE AND FOOD SYSTEMS,,,,,,,,,,,,,,,,"Lindquist, John L/D-8656-2012; Wortman, Sam/H-9061-2012","Wortman, Sam/0000-0001-5021-0899",,,,,,,,,,,,1742-1705,,,,,DEC,2010,25,4,,,,,281,295,,10.1017/S174217051000030X,,,,,,,WOS:000283802100005,,,,,
J,"Corbin, AT; Thelen, KD; Robertson, GP; Leep, RH",,,,"Corbin, Andrew T.; Thelen, Kurt D.; Robertson, G. P.; Leep, Richard H.",,,Influence of Cropping Systems on Soil Aggregate and Weed Seedbank Dynamics During the Organic Transition Period,AGRONOMY JOURNAL,,,,,,,,,,,,,,,,"Robertson, G Philip/H-3885-2011","Robertson, G Philip/0000-0001-9771-9895",,,,,,,,,,,,0002-1962,,,,,NOV-DEC,2010,102,6,,,,,1632,1640,,10.2134/agronj2010.0156,,,,,,,WOS:000284787300013,,,,,
J,"Schutte, BJ; Haramoto, ER; Davis, AS",,,,"Schutte, Brian J.; Haramoto, Erin R.; Davis, Adam S.",,,Methods for Optimizing Seed Mortality Experiments,WEED TECHNOLOGY,,,,,,,,,,,,,,,,,"Davis, Adam/0000-0002-7196-1197",,,,,,,,,,,,0890-037X,,,,,OCT-DEC,2010,24,4,,,,,599,606,,10.1614/WT-D-09-00034.1,,,,,,,WOS:000284185800029,,,,,
J,"Boydston, RA",,,,"Boydston, Rick A.",,,Managing Weeds in Potato Rotations Without Herbicides,AMERICAN JOURNAL OF POTATO RESEARCH,,,,,93rd Annual Meeting of the Potato-Association-of-America,"AUG 09-13, 2009","Fredericton, CANADA",Potato Assoc Amer,,,,,,,,,,,,,,,,,,,,,1099-209X,1874-9380,,,,OCT,2010,87,5,,,,,420,427,,10.1007/s12230-010-9153-4,,,,,,,WOS:000284954100004,,,,,
J,"Davis, AS; Raghu, S",,,,"Davis, A. S.; Raghu, S.",,,Weighing abiotic and biotic influences on weed seed predation,WEED RESEARCH,,,,,,,,,,,,,,,,"Raghu, S./A-1281-2010","Raghu, S./0000-0001-5843-5435; Davis, Adam/0000-0002-7196-1197",,,,,,,,,,,,0043-1737,1365-3180,,,,OCT,2010,50,5,,,,,402,412,,10.1111/j.1365-3180.2010.00790.x,,,,,,,WOS:000281553800003,,,,,
J,"De Cauwer, B; Van den Berge, K; Cougnon, M; Bulcke, R; Reheul, D",,,,"De Cauwer, B.; Van den Berge, K.; Cougnon, M.; Bulcke, R.; Reheul, D.",,,"Weed seedbank responses to 12 years of applications of composts, animal slurries or mineral fertilisers",WEED RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1737,,,,,OCT,2010,50,5,,,,,425,435,,10.1111/j.1365-3180.2010.00796.x,,,,,,,WOS:000281553800005,,,,,
J,"Mock, VA; Creech, JE; Ferris, VR; Hallett, SG; Johnson, WG",,,,"Mock, Valerie A.; Creech, J. Earl; Ferris, Virginia R.; Hallett, Steven G.; Johnson, William G.",,,Influence of Winter Annual Weed Removal Timings on Soybean Cyst Nematode Population Density and Plant Biomass,WEED SCIENCE,,,,,,,,,,,,,,,,"Creech, Earl/J-9166-2015","Creech, Earl/0000-0002-4393-6816",,,,,,,,,,,,0043-1745,,,,,OCT-DEC,2010,58,4,,,,,381,386,,10.1614/WS-09-072.1,,,,,,,WOS:000283693800003,,,,,
J,"Scursoni, JA; Satorre, EH",,,,"Scursoni, J. A.; Satorre, Emilio H.",,,"Glyphosate management strategies, weed diversity and soybean yield in Argentina",CROP PROTECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0261-2194,,,,,SEP,2010,29,9,,,,,957,962,,10.1016/j.cropro.2010.05.001,,,,,,,WOS:000281107700008,,,,,
J,"Bagavathiannan, MV; Gulden, RH; Begg, GS; Van Acker, RC",,,,"Bagavathiannan, Muthukumar V.; Gulden, Robert H.; Begg, Graham S.; Van Acker, Rene C.",,,"The demography of feral alfalfa (Medicago sativa L.) populations occurring in roadside habitats in Southern Manitoba, Canada: implications for novel trait confinement",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0944-1344,,,,,SEP,2010,17,8,,,,,1448,1459,,10.1007/s11356-010-0330-2,,,,,,,WOS:000280843700006,20393805,,,,
J,"Meiss, H; Mediene, S; Waldhardt, R; Caneill, J; Bretagnolle, V; Reboud, X; Munier-Jolain, N",,,,"Meiss, H.; Mediene, S.; Waldhardt, R.; Caneill, J.; Bretagnolle, V.; Reboud, X.; Munier-Jolain, N.",,,Perennial lucerne affects weed community trajectories in grain crop rotations,WEED RESEARCH,,,,,,,,,,,,,,,,"Meiss, Helmut/G-7436-2011; Caneill, Jacques/C-3130-2014","Meiss, Helmut/0000-0002-2117-0952; Caneill, Jacques/0000-0002-1654-8746",,,,,,,,,,,,0043-1737,1365-3180,,,,AUG,2010,50,4,,,,,331,340,,10.1111/j.1365-3180.2010.00784.x,,,,,,,WOS:000279539400006,,,,,
J,"Mirsky, SB; Gallandt, ER; Mortensen, DA; Curran, WS; Shumway, DL",,,,"Mirsky, S. B.; Gallandt, E. R.; Mortensen, D. A.; Curran, W. S.; Shumway, D. L.",,,Reducing the germinable weed seedbank with soil disturbance and cover crops,WEED RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1737,,,,,AUG,2010,50,4,,,,,341,352,,10.1111/j.1365-3180.2010.00792.x,,,,,,,WOS:000279539400007,,,,,
J,"Makowski, D; Chauvel, B; Munier-Jolain, N",,,,"Makowski, D.; Chauvel, B.; Munier-Jolain, N.",,,Improving a weed population model using a sequential Monte Carlo method,WEED RESEARCH,,,,,,,,,,,,,,,,"Makowski, David/V-4233-2019",,,,,,,,,,,,,0043-1737,1365-3180,,,,AUG,2010,50,4,,,,,373,382,,10.1111/j.1365-3180.2010.00786.x,,,,,,,WOS:000279539400010,,,,,
J,"Meiss, H; Mediene, S; Waldhardt, R; Caneill, J; Munier-Jolain, N",,,,"Meiss, Helmut; Mediene, Safia; Waldhardt, Rainer; Caneill, Jacques; Munier-Jolain, Nicolas",,,Contrasting weed species composition in perennial alfalfas and six annual crops: implications for integrated weed management,AGRONOMY FOR SUSTAINABLE DEVELOPMENT,,,,,,,,,,,,,,,,"Meiss, Helmut/G-7436-2011; Caneill, Jacques/C-3130-2014","Meiss, Helmut/0000-0002-2117-0952; Caneill, Jacques/0000-0002-1654-8746",,,,,,,,,,,,1774-0746,1773-0155,,,,JUL-SEP,2010,30,3,,,,,657,666,,10.1051/agro/2009043,,,,,,,WOS:000281616000010,,,,,
J,"Dexter, JE; Jhala, AJ; Yang, RC; Hills, MJ; Weselake, RJ; Hall, LM",,,,"Dexter, Jody E.; Jhala, Amit J.; Yang, Rong-Cai; Hills, Mellisa J.; Weselake, Randall J.; Hall, Linda M.",,,Emergence and Persistence of Volunteer Flax in Western Canadian Cropping Systems,AGRONOMY JOURNAL,,,,,,,,,,,,,,,,"Jhala, Amit/R-6866-2019","Jhala, Amit/0000-0001-8599-4996",,,,,,,,,,,,0002-1962,1435-0645,,,,JUL-AUG,2010,102,4,,,,,1321,1328,,10.2134/agronj2010.0005,,,,,,,WOS:000280030300032,,,,,
J,"Conn, JS; Werdin-Pfisterer, NR",,,,"Conn, Jeffery S.; Werdin-Pfisterer, Nancy R.",,,Variation in Seed Viability and Dormancy of 17 Weed Species after 24.7 Years of Burial: The Concept of Buried Seed Safe Sites,WEED SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1745,,,,,JUL-SEP,2010,58,3,,,,,209,215,,10.1614/WS-D-09-00084.1,,,,,,,WOS:000280818200007,,,,,
J,"Davis, AS",,,,"Davis, Adam S.",,,Cover-Crop Roller-Crimper Contributes to Weed Management in No-Till Soybean,WEED SCIENCE,,,,,,,,,,,,,,,,,"Davis, Adam/0000-0002-7196-1197",,,,,,,,,,,,0043-1745,,,,,JUL-SEP,2010,58,3,,,,,300,309,,10.1614/WS-D-09-00040.1,,,,,,,WOS:000280818200019,,,,,
J,"Steenwerth, K; Baumgartner, K; Belina, K; Veilleux, L",,,,"Steenwerth, K.; Baumgartner, K.; Belina, K.; Veilleux, L.",,,Vineyard Weed Seedbank Composition Responds to Glyphosate and Cultivation after Three Years,WEED SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1745,,,,,JUL-SEP,2010,58,3,,,,,310,316,,10.1614/WS-D-09-00043.1,,,,,,,WOS:000280818200020,,,,,
J,"Hawes, C; Squire, GR; Hallett, PD; Watson, CA; Young, M",,,,"Hawes, C.; Squire, G. R.; Hallett, P. D.; Watson, C. A.; Young, M.",,,Arable plant communities as indicators of farming practice,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,,,,,,,,,,,,,,,,"Hallett, Paul/C-9233-2011; Watson, Christine A/I-2135-2012","Hallett, Paul/0000-0001-7542-7832; Watson, Christine A/0000-0002-3758-9483; Young, Mark/0000-0003-2855-4673",,,,,,,,,,,,0167-8809,,,,,JUN 15,2010,138,1-2,,,,,17,26,,10.1016/j.agee.2010.03.010,,,,,,,WOS:000279193700003,,,,,
J,"Wang, T; Shi, Y; Li, Y; Song, Y; Darmency, H",,,,"Wang, T.; Shi, Y.; Li, Y.; Song, Y.; Darmency, H.",,,Population growth rate of Setaria viridis in the absence of herbicide: resulting yield loss in foxtail millet Setaria italica,WEED RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1737,,,,,JUN,2010,50,3,,,,,228,234,,10.1111/j.1365-3180.2010.00774.x,,,,,,,WOS:000277420100005,,,,,
J,"Dooley, SR; Beckstead, J",,,,"Dooley, Sandra R.; Beckstead, Julie",,,Characterizing the interaction between a fungal seed pathogen and a deleterious rhizobacterium for biological control of cheatgrass,BIOLOGICAL CONTROL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049-9644,1090-2112,,,,MAY,2010,53,2,,,,,197,203,,10.1016/j.biocontrol.2009.12.007,,,,,,,WOS:000275806200008,,,,,
J,"Baughman, C; Forbis, TA; Provencher, L",,,,"Baughman, Carson; Forbis, Tara A.; Provencher, Louis",,,"Response of Two Sagebrush Sites to Low-Disturbance, Mechanical Removal of Pinyon and Juniper",INVASIVE PLANT SCIENCE AND MANAGEMENT,,,,,,,,,,,,,,,,"de Queiroz, Tara/AAG-1467-2019",,,,,,,,,,,,,1939-7291,,,,,APR-JUN,2010,3,2,,,,,122,129,,10.1614/IPSM-D-09-00020.1,,,,,,,WOS:000291707500004,,,,,
J,"McDonald, AJ; Riha, SJ; Ditommaso, A",,,,"McDonald, A. J.; Riha, S. J.; Ditommaso, A.",,,Early season height differences as robust predictors of weed growth potential in maize: new avenues for adaptive management?,WEED RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1737,,,,,APR,2010,50,2,,,,,110,119,,10.1111/j.1365-3180.2009.00759.x,,,,,,,WOS:000275648700003,,,,,
J,"Jensen, PK",,,,"Jensen, P. K.",,,Longevity of seeds of Poa trivialis and Vulpia myuros as affected by simulated soil tillage practices and straw disposal technique,GRASS AND FORAGE SCIENCE,,,,,,,,,,,,,,,,"Jensen, Peter K/K-4648-2015; Jensen, Peter/G-8452-2011",,,,,,,,,,,,,0142-5242,,,,,MAR,2010,65,1,,,,,76,84,,10.1111/j.1365-2494.2009.00720.x,,,,,,,WOS:000274710400010,,,,,
J,"Jensen, PK",,,,"Jensen, P. K.",,,Longevity of seeds of Poa pratensis and Lolium perenne as affected by simulated soil tillage practices and its implications for contamination of herbage seed crops,GRASS AND FORAGE SCIENCE,,,,,,,,,,,,,,,,"Jensen, Peter/G-8452-2011; Jensen, Peter K/K-4648-2015",,,,,,,,,,,,,0142-5242,,,,,MAR,2010,65,1,,,,,85,91,,10.1111/j.1365-2494.2009.00721.x,,,,,,,WOS:000274710400011,,,,,
J,"Lortie, CJ; Munshaw, M; DiTomaso, J; Hierro, JL",,,,"Lortie, Christopher J.; Munshaw, Michael; DiTomaso, Joseph; Hierro, Jose L.",,,"The small-scale spatiotemporal pattern of the seedbank and vegetation of a highly invasive weed, Centaurea solstitialis: strength in numbers",OIKOS,,,,,,,,,,,,,,,,"lortie, christopher j/F-6241-2014","lortie, christopher j/0000-0002-4291-7023",,,,,,,,,,,,0030-1299,1600-0706,,,,MAR,2010,119,3,,,,,428,436,,10.1111/j.1600-0706.2009.17962.x,,,,,,,WOS:000275826200003,,,,,
J,"Ryan, MR; Mortensen, DA; Bastiaans, L; Teasdale, JR; Mirsky, SB; Curran, WS; Seidel, R; Wilson, DO; Hepperly, PR",,,,"Ryan, M. R.; Mortensen, D. A.; Bastiaans, L.; Teasdale, J. R.; Mirsky, S. B.; Curran, W. S.; Seidel, R.; Wilson, D. O.; Hepperly, P. R.",,,Elucidating the apparent maize tolerance to weed competition in long-term organically managed systems,WEED RESEARCH,,,,,,,,,,,,,,,,"Bastiaans, Lammert/Y-1829-2019",,,,,,,,,,,,,0043-1737,1365-3180,,,,FEB,2010,50,1,,,,,25,36,,10.1111/j.1365-3180.2009.00750.x,,,,,,,WOS:000273478700003,,,,,
J,"Cuneo, P; Offord, CA; Leishman, MR",,,,"Cuneo, Peter; Offord, Catherine A.; Leishman, Michelle R.",,,Seed ecology of the invasive woody plant African Olive (Olea europaea subsp cuspidata): implications for management and restoration,AUSTRALIAN JOURNAL OF BOTANY,,,,,,,,,,,,,,,,"Leishman, Michelle M/G-9726-2012","Leishman, Michelle M/0000-0003-4830-5797",,,,,,,,,,,,0067-1924,,,,,,2010,58,5,,,,,342,348,,10.1071/BT10061,,,,,,,WOS:000280133900002,,,,,
J,"Dickson, TL; Wilsey, BJ; Busby, RR; Gebhart, DL",,,,"Dickson, Timothy L.; Wilsey, Brian J.; Busby, Ryan R.; Gebhart, Dick L.",,,Melilotus officinalis (yellow sweetclover) causes large changes in community and ecosystem processes in both the presence and absence of a cover crop,BIOLOGICAL INVASIONS,,,,,,,,,,,,,,,,,"Wilsey, Brian J./0000-0002-0628-5006",,,,,,,,,,,,1387-3547,1573-1464,,,,JAN,2010,12,1,,,,,65,76,,10.1007/s10530-009-9430-7,,,,,,,WOS:000272847900006,,,,,
J,"Lodge, GM; Brennan, MA; Harden, S",,,,"Lodge, G. M.; Brennan, M. A.; Harden, S.",,,"Field studies of the effects of pre-sowing weed control and time of sowing on tropical perennial grass establishment, North-West Slopes, New South Wales",CROP & PASTURE SCIENCE,,,,,,,,,,,,,,,,"harden, steven/AAB-1796-2019","harden, steven/0000-0002-0632-2452",,,,,,,,,,,,1836-5795,,,,,,2010,61,2,,,,,182,191,,10.1071/CP09227,,,,,,,WOS:000274317900009,,,,,
J,"Legere, A; Stevenson, FC; Lalonde, O; Vanasse, A; Benoit, DL",,,,"Legere, Anne; Stevenson, F. Craig; Lalonde, Olivier; Vanasse, Anne; Benoit, Diane Lyse",,,Stork's bill (Erodium cicutarium (L.) L'Her. ex Ait) and hemp-nettle (Galeopsis tetrahit L.): a cautionary note for eastern Canada field crops,PHYTOPROTECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0031-9511,,,,,,2010,91,,,,,,11,14,,10.7202/1008540ar,,,,,,,WOS:000208253900003,,,,,
J,"Voll, E; Gazziero, DLP; Adegas, FS",,,,"Voll, E.; Gazziero, D. L. P.; Adegas, F. S.",,,Aconitic Acid on Seeds of Weed Species from Different Locations,PLANTA DANINHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0100-8358,,,,,,2010,28,1,,,,,13,22,,10.1590/S0100-83582010000100002,,,,,,,WOS:000277153000002,,,,,
J,"Sacande, M; Sina, S; Oubida, RW",,,,"Sacande, M.; Sina, S.; Oubida, R. W.",,,Long term conservation and germination of stored Parkia biglobosa seeds,SEED SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0251-0952,,,,,,2010,38,1,,,,,158,169,,10.15258/sst.2010.38.1.16,,,,,,,WOS:000276490900016,,,,,
J,"Kegode, GO; Nazre, G; Christoffers, MJ",,,,"Kegode, George O.; Nazre, Gauri; Christoffers, Michael J.",,,Germination Ecology of Biennial Wormwood (Artemisia biennis) and Lanceleaf Sage (Salvia reflexa) Seeds,WEED SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1745,,,,,JAN-MAR,2010,58,1,,,,,61,66,,10.1614/WS-09-103.1,,,,,,,WOS:000273994100009,,,,,
J,"Rubiales, D; Fernandez-Aparicio, M; Wegmann, K; Joel, DM",,,,"Rubiales, D.; Fernandez-Aparicio, M.; Wegmann, K.; Joel, D. M.",,,Revisiting strategies for reducing the seedbank of Orobanche and Phelipanche spp.,WEED RESEARCH,,,,,,,,,,,,,,,,"Rubiales, Diego/C-7663-2009","Rubiales, Diego/0000-0001-9644-8616; Fernandez-Aparicio, Monica/0000-0003-2650-1017",,,,,,,,,,,,0043-1737,1365-3180,,,,NOV,2009,49,,,1,,,23,33,,10.1111/j.1365-3180.2009.00742.x,,,,,,,WOS:000271417000004,,,,,
J,"Galon, L; Agostinetto, D",,,,"Galon, L.; Agostinetto, D.",,,Comparison of empirical models for predicting yield loss of irrigated rice (Oryza sativa) mixed with Echinochloa spp.,CROP PROTECTION,,,,,,,,,,,,,,,,"Galon, Leandro/I-5511-2018","Galon, Leandro/0000-0002-1819-462X",,,,,,,,,,,,0261-2194,,,,,OCT,2009,28,10,,,,,825,830,,10.1016/j.cropro.2009.06.005,,,,,,,WOS:000270123900004,,,,,
J,"Potts, JB; Stephens, SL",,,,"Potts, Jennifer B.; Stephens, Scott L.",,,"Invasive and native plant responses to shrubland fuel reduction: comparing prescribed fire, mastication, and treatment season",BIOLOGICAL CONSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0006-3207,1873-2917,,,,AUG,2009,142,8,,,,,1657,1664,,10.1016/j.biocon.2009.03.001,,,,,,,WOS:000267409300012,,,,,
J,"Egawa, C; Koyama, A; Tsuyuzaki, S",,,,"Egawa, Chika; Koyama, Asuka; Tsuyuzaki, Shiro",,,"Relationships between the developments of seedbank, standing vegetation and litter in a post-mined peatland",PLANT ECOLOGY,,,,,,,,,,,,,,,,"Tsuyuzaki, Shiro/F-9090-2012; Egawa, Chika/B-8085-2014","Tsuyuzaki, Shiro/0000-0003-3010-8699; ",,,,,,,,,,,,1385-0237,1573-5052,,,,AUG,2009,203,2,,,,,217,228,,10.1007/s11258-008-9536-5,,,,,,,WOS:000267395900006,,,,,
J,"Titus, JH",,,,"Titus, Jonathan H.",,,Nitrogen-fixers Alnus and Lupinus influence soil characteristics but not colonization by later successional species in primary succession on Mount St. Helens,PLANT ECOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385-0237,1573-5052,,,,AUG,2009,203,2,,,,,289,301,,10.1007/s11258-008-9549-0,,,,,,,WOS:000267395900012,,,,,
J,"Borger, CPD; Scott, JK; Walsh, M; Powles, SB",,,,"Borger, C. P. D.; Scott, J. K.; Walsh, M.; Powles, S. B.",,,Demography of Salsola australis populations in the agricultural region of south-west Australia,WEED RESEARCH,,,,,,,,,,,,,,,,"Scott, John/C-1061-2009; Walsh, Michael J/B-3283-2011; Powles, Stephen/A-2558-2008","Scott, John/0000-0002-8303-9706; Walsh, Michael J/0000-0002-2748-9753; powles, stephen/0000-0001-6375-1977",,,,,,,,,,,,0043-1737,,,,,AUG,2009,49,4,,,,,391,399,,10.1111/j.1365-3180.2009.00702.x,,,,,,,WOS:000267742800008,,,,,
J,"Borger, CPD; Scott, JK; Renton, M; Walsh, M; Powles, SB",,,,"Borger, C. P. D.; Scott, J. K.; Renton, M.; Walsh, M.; Powles, S. B.",,,Assessment of management options for Salsola australis in south-west Australia by transition matrix modelling,WEED RESEARCH,,,,,,,,,,,,,,,,"Powles, Stephen/A-2558-2008; Walsh, Michael J/B-3283-2011; Scott, John/C-1061-2009; Renton, Michael/A-9979-2011","Walsh, Michael J/0000-0002-2748-9753; Scott, John/0000-0002-8303-9706; Renton, Michael/0000-0003-1316-0145; powles, stephen/0000-0001-6375-1977",,,,,,,,,,,,0043-1737,,,,,AUG,2009,49,4,,,,,400,408,,10.1111/j.1365-3180.2009.00703.x,,,,,,,WOS:000267742800009,,,,,
J,"Batlla, D; Grundy, A; Dent, KC; Clay, HA; Finch-Savage, WE",,,,"Batlla, D.; Grundy, A.; Dent, K. C.; Clay, H. A.; Finch-Savage, W. E.",,,A quantitative analysis of temperature-dependent dormancy changes in Polygonum aviculare seeds,WEED RESEARCH,,,,,,,,,,,,,,,,"Finch-Savage, William E/B-6153-2015",,,,,,,,,,,,,0043-1737,,,,,AUG,2009,49,4,,,,,428,438,,10.1111/j.1365-3180.2009.00706.x,,,,,,,WOS:000267742800012,,,,,
J,"Carlson, ML; Kowalski, KP; Wilcox, DA",,,,"Carlson, Martha L.; Kowalski, Kurt P.; Wilcox, Douglas A.",,,Promoting Species Establishment in a Phragmites-dominated Great Lakes Coastal Wetland,NATURAL AREAS JOURNAL,,,,,,,,,,,,,,,,,"Kowalski, Kurt/0000-0002-8424-4701",,,,,,,,,,,,0885-8608,,,,,JUL,2009,29,3,,,,,263,280,,10.3375/043.029.0306,,,,,,,WOS:000269119700006,,,,,
J,"Zhu, YJ; Dong, M; Huang, ZY",,,,"Zhu, Yajuan; Dong, Ming; Huang, Zhenying",,,"Response of Seed Germination and Seedling Growth to Sand Burial of Two Dominant Perennial Grasses in Mu-Us Sandy Grassland, Semiarid China",RANGELAND ECOLOGY & MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550-7424,1551-5028,,,,JUL,2009,62,4,,,,,337,344,,10.2111/07-072.1,,,,,,,WOS:000268212800006,,,,,
J,"Davis, VM; Gibson, KD; Bauman, TT; Weller, SC; Johnson, WG",,,,"Davis, Vince M.; Gibson, Kevin D.; Bauman, Thomas T.; Weller, Stephen C.; Johnson, William G.",,,Influence of Weed Management Practices and Crop Rotation on Glyphosate-Resistant Horseweed (Conyza canadensis) Population Dynamics and Crop Yield-Years III and IV,WEED SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1745,1550-2759,,,,JUL-AUG,2009,57,4,,,,,417,426,,10.1614/WS-09-006.1,,,,,,,WOS:000268350800009,,,,,
J,"Dornelas, M; Moonen, AC; Magurran, AE; Barberi, P",,,,"Dornelas, Maria; Moonen, Anna Camilla; Magurran, Anne E.; Barberi, Paolo",,,Species abundance distributions reveal environmental heterogeneity in modified landscapes,JOURNAL OF APPLIED ECOLOGY,,,,,,,,,,,,,,,,"Magurran, Anne/D-7463-2013; Dornelas, Maria/E-3595-2010","Dornelas, Maria/0000-0003-2077-7055; MOONEN, Anna Camilla/0000-0002-4472-1665; Magurran, Anne/0000-0002-0036-2795",,,,,,,,,,,,0021-8901,1365-2664,,,,JUN,2009,46,3,,,,,666,672,,10.1111/j.1365-2664.2009.01640.x,,,,,,,WOS:000265614800021,,,,,
J,"Norgrove, L; Csuzdi, C; Forzi, F; Canet, M; Gounes, J",,,,"Norgrove, Lindsey; Csuzdi, C.; Forzi, F.; Canet, M.; Gounes, J.",,,Shifts in soil faunal community structure in shaded cacao agroforests and consequences for ecosystem function in Central Africa,TROPICAL ECOLOGY,,,,,International Tropical Ecology Congress,"DEC 02-05, 2007","Dehradun, INDIA",,,,,,,,,"Csuzdi, Csaba/A-8619-2010","Csuzdi, Csaba/0000-0002-0319-7836",,,,,,,,,,,,0564-3295,2661-8982,,,,SUM,2009,50,1,,,,,71,78,,,,,,,,,WOS:000268913200008,,,,,
J,"Rowntree, JK; Ramsay, MM",,,,"Rowntree, J. K.; Ramsay, M. M.",,,How bryophytes came out of the cold: successful cryopreservation of threatened species,BIODIVERSITY AND CONSERVATION,,,,,,,,,,,,,,,,"Rowntree, Jennifer/F-4766-2011","Rowntree, Jennifer/0000-0001-8249-8057",,,,,,,,,,,,0960-3115,,,,,MAY,2009,18,5,,,,,1413,1420,,10.1007/s10531-008-9453-x,,,,,,,WOS:000265939700021,,,,,
J,"Pollnac, FW; Maxwell, BD; Menalled, FD",,,,"Pollnac, Fredric W.; Maxwell, Bruce D.; Menalled, Fabian D.",,,Using Species-Area Curves to Examine Weed Communities in Organic and Conventional Spring Wheat Systems,WEED SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1745,1550-2759,,,,MAY-JUN,2009,57,3,,,,,241,247,,10.1614/WS-08-159.1,,,,,,,WOS:000266364800003,,,,,
J,"Sosnoskie, LM; Herms, CP; Cardina, J; Webster, TM",,,,"Sosnoskie, Lynn M.; Herms, Catherine P.; Cardina, John; Webster, Theodore M.",,,Seedbank and Emerged Weed Communities Following Adoption of Glyphosate-Resistant Crops in a Long-Term Tillage and Rotation Study,WEED SCIENCE,,,,,,,,,,,,,,,,"Webster, Theodore/A-4468-2009; Sosnoskie, Lynn/A-8854-2014","Webster, Theodore/0000-0002-8259-2059; Sosnoskie, Lynn/0000-0002-1892-7934",,,,,,,,,,,,0043-1745,1550-2759,,,,MAY-JUN,2009,57,3,,,,,261,270,,10.1614/WS-08-147.1,,,,,,,WOS:000266364800006,,,,,
J,"Blackshaw, RE; Molnar, LJ",,,,"Blackshaw, Robert E.; Molnar, Louis J.",,,Phosphorus Fertilizer Application Method Affects Weed Growth and Competition with Wheat,WEED SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1745,,,,,MAY-JUN,2009,57,3,,,,,311,318,,10.1614/WS-08-173.1,,,,,,,WOS:000266364800012,,,,,
J,"Williams, MM",,,,"Williams, Martin M., II",,,Within-Season Changes in the Residual Weed Community and Crop Tolerance to Interference over the Long Planting Season of Sweet Corn,WEED SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0043-1745,1550-2759,,,,MAY-JUN,2009,57,3,,,,,319,325,,10.1614/WS-08-164.1,,,,,,,WOS:000266364800013,,,,,
J,"Efthimiadou, AP; Karkanis, AC; Bilalis, DJ; Efthimiadis, P",,,,"Efthimiadou, Aspasia P.; Karkanis, Anestis C.; Bilalis, Dimitrios J.; Efthimiadis, Panagiotis",,,Review: The phenomenon of crop-weed competition; a problem or a key for sustainable weed management?,JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT,,,,,,,,,,,,,,,,"Karkanis, Anestis/W-9775-2019","Karkanis, Anestis/0000-0003-0477-9923; Bilalis, Dimitrios/0000-0002-4585-7257",,,,,,,,,,,,1459-0255,1459-0263,,,,APR,2009,7,2,,,,,861,868,,,,,,,,,WOS:000266192600159,,,,,
